"",gene_symbol,GSM1936737,GSM1936738,GSM1936739,GSM1936740,GSM1936741,GSM1936742,GSM1936743,GSM1936744,GSM1936745,GSM1936746,GSM1936747,GSM1936748,GSM1936749,GSM1936750,GSM1936751,GSM1936752,GSM1936753,GSM1936754
ENSG00000144659,SLC25A38,750.6883,786.7208,679.1349,1385.2671,652.6025,695.9915,896.5653,793.9131,781.1645,880.2269,656.9682,661.4779,769.1737,798.6865,1462.2502,1657.0873,539.6294,560.5773
ENSG00000144668,ITGA9,431.595,400.4336,288.2984,413.0782,297.62,321.9984,52.7191,55.3326,61.4606,45.6512,57.899,89.4082,30.5973,15.2635,86.0462,76.1672,31.1387,46.6035
ENSG00000144671,SLC22A14,4.692,9.3716,11.9134,19.2913,8.3611,6.5032,11.3813,2.0388,7.8693,5.5359,3.0754,5.4704,2.2663,8.3807,15.3901,11.4756,4.5914,2.0226
ENSG00000144674,GOLGA4,6546.4461,5944.4066,3785.0415,7835.1876,4116.0437,3826.5821,6884.2075,7142.8369,4274.2934,4110.0541,4092.6273,4353.4262,5794.2849,7256.5355,7835.7563,10077.0394,4345.8292,4502.6643
ENSG00000144677,CTDSPL,1448.4362,1628.0608,1703.4337,2776.9998,1706.0387,1671.4601,1531.0582,1580.1491,1339.3658,1396.1282,1252.8618,1593.013,1653.0273,2122.0584,3786.2987,3975.3435,1795.0184,1975.9284
ENSG00000144681,STAC,52.1555,47.2143,21.7191,53.1768,29.4345,39.2972,43.3363,60.2599,43.2711,30.668,34.9374,45.2453,40.9198,47.9316,45.3744,33.7814,32.3527,22.4735
ENSG00000144711,IQSEC1,1410.1094,1389.5908,920.6914,1940.0287,677.6019,764.9357,1335.2532,1310.9725,941.7997,857.9692,671.4394,626.391,2099.1764,2261.2178,2252.17,2381.1902,1035.3379,1166.1878
ENSG00000144712,CAND2,353.0851,322.4491,332.7022,672.4927,155.4116,154.3949,307.4651,246.8126,297.9205,250.0463,136.3319,134.1644,564.3095,522.122,755.6798,695.3419,264.6297,262.6683
ENSG00000144713,RPL32,9781.3329,9933.1282,5092.5524,10575.3532,8500.6987,8774.9043,11221.3926,10491.3078,7322.0466,8548.7252,8772.6175,9129.677,10679.5576,11151.07,12810.6898,14293.6293,8536.2458,9582.7276
ENSG00000144724,PTPRG,3714.6966,3171.3342,1829.5692,3599.0573,2656.7931,2582.3523,3094.699,3335.6798,2136.833,1697.0263,2745.881,2784.6837,3352.1954,4270.8314,4819.4821,6123.9118,3516.1874,3741.3751
ENSG00000144730,IL17RD,307.2477,356.8765,85.7696,181.5233,185.6431,166.5623,340.3852,345.5352,154.8413,111.0555,156.0824,202.4039,448.5814,512.0904,208.4351,231.9048,482.2111,507.4098
ENSG00000144736,SHQ1,598.3314,659.4652,388.2969,1057.5525,592.7041,484.9365,917.5526,714.2122,611.4371,487.3325,728.2825,517.5061,812.8259,612.1463,1220.3408,1268.0652,607.6844,510.9327
ENSG00000144741,SLC25A26,166.0616,147.0676,145.8238,285.8795,168.8911,187.2844,163.1229,185.4833,158.7222,188.3718,137.1139,154.256,204.3488,231.0849,373.5096,378.3337,187.9811,223.2638
ENSG00000144744,UBA3,1930.188,1797.7337,2028.6432,3682.8123,1964.9,1639.0733,2457.4561,2120.9438,2179.1646,2466.178,2104.3361,2214.8352,2241.241,2379.3397,3624.5201,4480.7463,2575.1727,2502.0411
ENSG00000144746,ARL6IP5,4995.1521,4271.2785,3134.9366,5963.4857,3018.7602,2840.8178,5981.7576,5988.5971,4876.6325,5035.0063,4548.7523,4576.2772,5880.565,6335.9422,7210.3965,8131.4133,4009.305,4023.523
ENSG00000144747,TMF1,2975.4549,2748.1145,3314.5678,6559.6814,3356.4862,3044.6684,2483.841,3178.1757,2589.7193,2396.3847,2595.3838,2496.5685,2366.9129,3815.1987,5425.9312,6612.7475,3489.5476,3751.7044
ENSG00000144749,LRIG1,1151.1371,1103.9191,1091.1863,2353.6065,1188.6369,1222.3183,1569.4136,1695.443,1887.4194,1790.985,911.7576,1067.8395,537.9467,682.6768,2147.3029,2438.1173,518.941,665.864
ENSG00000144771,LRTM1,0,0,7.5897,4.9411,0,2.8613,2.1214,2.1146,3.244,0,1.9102,0,2.1149,1.0603,1.0581,2.8325,1.0555,2.8345
